id,production_schedule_id,sequence,location_code,event_type,event_time,advertised_event_time
173827913,7508465,24,ERDNGTN,D,2020-12-22 12:07:30,2020-12-22 12:07:00
173827912,7508465,23,ERDNGTN,A,2020-12-22 12:06:30,2020-12-22 12:07:00
173827911,7508465,22,GRAVLYH,D,2020-12-22 12:04:30,2020-12-22 12:04:00
173827910,7508465,21,GRAVLYH,A,2020-12-22 12:04:00,2020-12-22 12:04:00
173827909,7508465,20,ASTON,D,2020-12-22 12:01:00,2020-12-22 12:01:00
173827908,7508465,19,ASTON,A,2020-12-22 12:00:30,2020-12-22 12:01:00
173827906,7508465,17,BHAMNWS,D,2020-12-22 11:55:00,2020-12-22 11:55:00
173827905,7508465,16,BHAMNWS,A,2020-12-22 11:52:00,2020-12-22 11:52:00
173827904,7508465,15,FIVEWYS,D,2020-12-22 11:49:00,2020-12-22 11:48:00
173827903,7508465,14,FIVEWYS,A,2020-12-22 11:48:00,2020-12-22 11:48:00
173827902,7508465,13,UNVRSYB,D,2020-12-22 11:45:00,2020-12-22 11:44:00
173827901,7508465,12,UNVRSYB,A,2020-12-22 11:44:00,2020-12-22 11:44:00
173827900,7508465,11,SELYOAK,D,2020-12-22 11:42:30,2020-12-22 11:41:00
173827899,7508465,10,SELYOAK,A,2020-12-22 11:41:30,2020-12-22 11:41:00
173827898,7508465,9,BOURNVL,D,2020-12-22 11:39:30,2020-12-22 11:38:00
173827897,7508465,8,BOURNVL,A,2020-12-22 11:39:00,2020-12-22 11:38:00
173827896,7508465,7,KNORTON,D,2020-12-22 11:37:00,2020-12-22 11:36:00
173827895,7508465,6,KNORTON,A,2020-12-22 11:36:00,2020-12-22 11:36:00
173827894,7508465,5,NRTF,D,2020-12-22 11:33:00,2020-12-22 11:33:00
173827893,7508465,4,NRTF,A,2020-12-22 11:32:30,2020-12-22 11:33:00
173827892,7508465,3,LONB,D,2020-12-22 11:31:00,2020-12-22 11:31:00
173827891,7508465,2,LONB,A,2020-12-22 11:28:00,2020-12-22 11:28:00
173827889,7508465,0,BRMSGRV,D,2020-12-22 11:19:00,2020-12-22 11:19:00
173828004,7508470,41,LCHTTVH,A,2020-12-22 13:36:00,2020-12-22 13:36:00
173828003,7508470,40,LCHC,D,2020-12-22 13:33:30,2020-12-22 13:33:00
173828002,7508470,39,LCHC,A,2020-12-22 13:32:30,2020-12-22 13:33:00
173828001,7508470,38,SHNS,D,2020-12-22 13:26:30,2020-12-22 13:26:00
173828000,7508470,37,SHNS,A,2020-12-22 13:26:00,2020-12-22 13:26:00
173827999,7508470,36,BLKST,D,2020-12-22 13:22:30,2020-12-22 13:22:00
173827998,7508470,35,BLKST,A,2020-12-22 13:22:00,2020-12-22 13:22:00
173827997,7508470,34,BTLRSLA,D,2020-12-22 13:20:30,2020-12-22 13:20:00
173827996,7508470,33,BTLRSLA,A,2020-12-22 13:19:30,2020-12-22 13:20:00
173827995,7508470,32,FOUROKS,D,2020-12-22 13:17:30,2020-12-22 13:17:00
173827994,7508470,31,FOUROKS,A,2020-12-22 13:17:00,2020-12-22 13:17:00
173827993,7508470,30,SUTCO,D,2020-12-22 13:14:30,2020-12-22 13:14:00
173827992,7508470,29,SUTCO,A,2020-12-22 13:13:30,2020-12-22 13:14:00
173827991,7508470,28,WYGN,D,2020-12-22 13:11:30,2020-12-22 13:11:00
173827990,7508470,27,WYGN,A,2020-12-22 13:11:00,2020-12-22 13:11:00
